food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
285.8,0.960039,4.9081154,230.8,1.9,48157673902
265.5,0.68098193,4.6294146,210.5,20.8,48157674000
266.5,0.6949531,3.4335604,74.4,216.7,48157674100
100.6,1.3257867,3.1051517,134.0,129.2,48157674200
272.9,2.3404326,8.416689,193.2,19.8,48157674300
272.9,2.3404326,8.416689,193.2,19.8,48157674400
272.9,2.3404326,8.416689,193.2,19.8,48157674501
286.3,2.109493,8.430683,206.6,33.2,48157674502
285.8,0.960039,4.9081154,230.8,1.9,48157674601
272.9,2.3404326,8.416689,193.2,19.8,48157674602
285.8,0.960039,4.9081154,230.8,1.9,48157674603
285.8,0.960039,4.9081154,230.8,1.9,48157674604
285.8,0.960039,4.9081154,230.8,1.9,48157674700
285.8,0.960039,4.9081154,230.8,1.9,48157674800
663.9,0.7047643,9.891426,563.3,458.3,48157674900
663.9,0.7047643,9.891426,563.3,458.3,48157675000
285.8,0.960039,4.9081154,230.8,1.9,48157675100
285.8,0.960039,4.9081154,230.8,1.9,48157675200
663.9,0.7047643,9.891426,563.3,458.3,48157675300
704.4,0.0003523399,10.394056,603.8,498.8,48157675400
272.9,2.3404326,8.416689,193.2,19.8,48157675500
272.9,2.3404326,8.416689,193.2,19.8,48157675600
285.8,0.960039,4.9081154,230.8,1.9,48157675700
721.6,0.00010303987,10.608462,621.0,516.0,48157675800
380.2,1.2258967,12.020266,269.9,172.3,48167720100
224.4,1.3726265,17.843796,369.4,274.8,48167720200
224.4,1.3726265,17.843796,369.4,274.8,48167720301
224.4,1.3726265,17.843796,369.4,274.8,48167720302
224.4,1.3726265,17.843796,369.4,274.8,48167720400
228.0,1.4265772,18.305809,373.0,278.4,48167720501
228.0,1.4265772,18.305809,373.0,278.4,48167720502
224.4,1.3726265,17.843796,369.4,274.8,48167720503
224.4,1.3726265,17.843796,369.4,274.8,48167720600
285.2,0.20946565,20.930271,177.4,234.9,48167720700
285.2,0.20946565,20.930271,177.4,234.9,48167720800
273.9,0.021426773,21.049622,166.1,223.6,48167720900
319.1,0.5765984,22.392889,211.3,268.8,48167721000
319.7,0.5645525,22.387518,211.9,269.4,48167721100
319.7,0.5645525,22.387518,211.9,269.4,48167721201
319.1,0.5765984,22.392889,211.3,268.8,48167721202
254.6,0.3309212,21.265703,146.8,204.3,48167721300
324.1,0.68219554,22.426554,216.3,273.8,48167721400
324.1,0.68219554,22.426554,216.3,273.8,48167721500
337.8,0.9092154,22.421478,230.0,287.5,48167721600
324.1,0.68219554,22.426554,216.3,273.8,48167721700
324.1,0.68219554,22.426554,216.3,273.8,48167721800
319.1,0.5765984,22.392889,211.3,268.8,48167721900
324.1,0.68219554,22.426554,216.3,273.8,48167722001
319.1,0.5765984,22.392889,211.3,268.8,48167722002
324.1,0.68219554,22.426554,216.3,273.8,48167722100
324.1,0.68219554,22.426554,216.3,273.8,48167722200
319.1,0.5765984,22.392889,211.3,268.8,48167722300
319.7,0.5645525,22.387518,211.9,269.4,48167722600
319.7,0.5645525,22.387518,211.9,269.4,48167722700
319.7,0.5645525,22.387518,211.9,269.4,48167722800
319.7,0.5645525,22.387518,211.9,269.4,48167722900
319.7,0.5645525,22.387518,211.9,269.4,48167723000
280.3,0.20998251,21.91405,172.5,230.0,48167723100
285.2,0.20946565,20.930271,177.4,234.9,48167723200
285.2,0.20946565,20.930271,177.4,234.9,48167723300
224.4,1.3726265,17.843796,369.4,274.8,48167723400
285.2,0.20946565,20.930271,177.4,234.9,48167723501
224.4,1.3726265,17.843796,369.4,274.8,48167723502
285.2,0.20946565,20.930271,177.4,234.9,48167723600
305.4,0.2986312,22.227896,197.6,255.1,48167723700
319.7,0.5645525,22.387518,211.9,269.4,48167723800
337.3,0.91730577,22.420343,229.5,287.0,48167723900
324.1,0.68219554,22.426554,216.3,273.8,48167724000
324.1,0.68219554,22.426554,216.3,273.8,48167724101
324.1,0.68219554,22.426554,216.3,273.8,48167724200
324.1,0.68219554,22.426554,216.3,273.8,48167724300
324.1,0.68219554,22.426554,216.3,273.8,48167724400
324.1,0.68219554,22.426554,216.3,273.8,48167724500
324.1,0.68219554,22.426554,216.3,273.8,48167724600
324.1,0.68219554,22.426554,216.3,273.8,48167724700
324.1,0.68219554,22.426554,216.3,273.8,48167724800
319.1,0.5765984,22.392889,211.3,268.8,48167724900
319.1,0.5765984,22.392889,211.3,268.8,48167725000
319.1,0.5765984,22.392889,211.3,268.8,48167725100
319.1,0.5765984,22.392889,211.3,268.8,48167725200
319.1,0.5765984,22.392889,211.3,268.8,48167725300
319.1,0.5765984,22.392889,211.3,268.8,48167725400
319.1,0.5765984,22.392889,211.3,268.8,48167725500
319.1,0.5765984,22.392889,211.3,268.8,48167725600
319.1,0.5765984,22.392889,211.3,268.8,48167725700
319.1,0.5765984,22.392889,211.3,268.8,48167725800
319.7,0.5645525,22.387518,211.9,269.4,48167725900
319.7,0.5645525,22.387518,211.9,269.4,48167726000
285.2,0.20946565,20.930271,177.4,234.9,48167726100
319.1,0.5765984,22.392889,211.3,268.8,48167726200
324.1,0.68219554,22.426554,216.3,273.8,48167990000
58.4,0.14214434,0.10167813,50.7,14.8,48201100000
138.2,0.43596336,0.62608206,84.2,91.0,48201210100
62.5,0.37701985,0.15413733,52.1,78.2,48201210400
78.2,0.08728545,0.5695944,35.1,24.7,48201210500
89.5,0.35417753,0.42636615,68.3,31.7,48201210600
151.8,0.53591543,1.4514235,79.5,14.5,48201210700
237.2,0.7035213,1.0134281,123.7,83.3,48201210800
295.5,0.20452648,1.1975847,82.4,22.4,48201210900
263.2,0.41058233,1.3022207,47.5,19.4,48201211000
192.0,0.30027807,0.7319631,47.6,5.6,48201211100
333.2,0.8352389,2.0796788,39.5,12.7,48201211200
273.8,0.76696885,1.1027733,54.2,13.4,48201211300
234.6,0.79459447,0.5504026,81.0,76.8,48201211400
292.5,0.73322225,1.3248452,68.5,86.0,48201211500
376.8,0.5018266,0.60809165,44.1,71.9,48201211600
463.6,0.6068763,2.5185199,116.1,54.4,48201211700
412.0,0.39619163,1.8248851,30.9,47.7,48201211900
60.0,0.48498884,0.448165,57.6,26.6,48201212300
407.2,1.3341535,2.058787,156.7,106.5,48201212400
435.3,0.5054904,1.589859,70.5,64.0,48201212500
275.3,1.4294467,1.3333322,83.6,18.3,48201220100
145.0,0.7706938,0.47907257,56.2,13.6,48201220200
110.2,0.9744331,0.99225324,9.2,25.7,48201220300
89.4,0.54326904,0.98010033,64.7,10.5,48201220400
38.2,0.04589254,0.5779294,91.2,56.3,48201220500
168.2,0.26496235,1.3425387,46.5,25.4,48201220600
201.7,0.35665116,1.0016603,40.0,21.4,48201220700
238.3,1.1693279,1.1010324,27.3,0.0,48201220800
140.4,0.69375896,0.45454782,148.2,52.5,48201220900
118.5,0.3365721,1.3512887,37.8,72.0,48201221000
175.2,0.705544,2.0140812,78.3,20.8,48201221100
108.3,0.53127295,3.4965105,52.8,1.0,48201221200
163.9,0.5224884,2.2286832,49.3,0.0,48201221300
115.0,0.7105857,2.6769612,58.2,26.1,48201221400
89.4,0.0003272852,2.2013657,27.5,33.0,48201221500
85.4,1.0377451,1.4008819,117.2,57.2,48201221600
188.7,0.51003075,3.8568444,110.4,68.2,48201221700
270.3,0.542664,3.8918834,206.8,190.8,48201221800
270.3,0.542664,3.8918834,206.8,190.8,48201221900
60.3,0.29045525,1.8514619,32.5,115.3,48201222000
89.0,0.93687934,2.5054517,35.2,148.3,48201222100
282.7,1.7288116,4.744798,161.3,15.5,48201222200
271.9,0.0002349052,4.3139324,233.5,106.2,48201222300
137.3,1.8958749,2.5911083,95.9,77.6,48201222401
106.0,1.3586345,4.1588264,112.3,93.2,48201222402
71.7,0.07903168,2.449254,33.5,124.2,48201222501
125.5,1.3074468,3.1475978,90.9,106.3,48201222502
52.6,0.34233904,3.392778,13.1,37.6,48201222503
24.6,1.1960036,2.0167382,54.7,61.3,48201222600
16.8,0.26622465,0.26622465,0.0,16.8,48201222700
89.2,1.4150903,1.4150903,50.8,76.5,48201222800
165.7,1.6850357,2.6288614,127.3,0.0,48201222900
168.6,0.51003826,6.6050177,58.9,40.5,48201223001
216.5,0.87926537,3.4346309,178.1,50.8,48201223002
89.2,1.4150903,1.4150903,50.8,76.5,48201223100
336.8,0.56724733,0.08760452,9.2,10.1,48201230100
449.7,0.076445006,2.018891,51.0,51.8,48201230200
325.9,0.64800084,2.68067,25.0,0.0,48201230300
261.8,1.1245182,1.792054,23.5,31.5,48201230400
155.4,0.79830295,0.7811731,129.2,11.3,48201230500
305.4,0.60845846,2.7369905,50.7,0.0,48201230600
255.7,0.257166,2.5313501,26.4,56.4,48201230700
496.5,0.5139333,1.712253,145.6,0.0,48201230800
563.8,0.46276107,0.88219935,102.4,3.5,48201230900
542.0,0.97349256,1.6469414,102.9,43.6,48201231000
