food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
201.8000030517578,1.4804447889328003,9.708066940307617,66.5,135.8000030517578,48039660100.0
389.79998779296875,1.2258967161178589,12.020265579223633,269.8999938964844,172.3000030517578,48039660200.0
201.8000030517578,1.4804447889328003,9.708066940307617,66.5,135.8000030517578,48039660300.0
388.79998779296875,1.0184413194656372,6.846058368682861,103.19999694824219,103.19999694824219,48039660400.0
600.7000122070312,2.821762800216675,5.311479568481445,282.79998779296875,289.29998779296875,48039660500.0
813.7000122070312,0.7876887321472168,3.6523232460021973,342.70001220703125,292.79998779296875,48039660601.0
184.89999389648438,1.123640775680542,4.0144944190979,101.80000305175781,174.1999969482422,48039660602.0
822.5999755859375,0.00016572610184084624,4.437803745269775,424.8999938964844,375.0,48039660701.0
822.5999755859375,0.00016572610184084624,4.437803745269775,424.8999938964844,375.0,48039660702.0
629.5999755859375,2.491405487060547,7.201693058013916,374.3999938964844,331.29998779296875,48039660801.0
629.5999755859375,2.491405487060547,7.201693058013916,374.3999938964844,331.29998779296875,48039660802.0
629.5999755859375,2.491405487060547,7.201693058013916,374.3999938964844,331.29998779296875,48039660900.0
822.5999755859375,0.00016572610184084624,4.437803745269775,424.8999938964844,375.0,48039661000.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039661100.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039661200.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039661300.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039661400.0
822.5999755859375,0.00016572610184084624,4.437803745269775,424.8999938964844,375.0,48039661501.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039661502.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039661601.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039661602.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039661700.0
184.89999389648438,1.123640775680542,4.0144944190979,101.80000305175781,174.1999969482422,48039661800.0
286.79998779296875,2.1094930171966553,8.430683135986328,207.1999969482422,33.5,48039661900.0
273.3999938964844,2.340432643890381,8.416688919067383,193.8000030517578,20.100000381469727,48039662000.0
273.3999938964844,2.340432643890381,8.416688919067383,193.8000030517578,20.100000381469727,48039662100.0
184.89999389648438,1.123640775680542,4.0144944190979,101.80000305175781,174.1999969482422,48039662200.0
184.89999389648438,1.123640775680542,4.0144944190979,101.80000305175781,174.1999969482422,48039662300.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039662400.0
273.3999938964844,2.340432643890381,8.416688919067383,193.8000030517578,20.100000381469727,48039662500.0
273.3999938964844,2.340432643890381,8.416688919067383,193.8000030517578,20.100000381469727,48039662600.0
273.3999938964844,2.340432643890381,8.416688919067383,193.8000030517578,20.100000381469727,48039662700.0
273.3999938964844,2.340432643890381,8.416688919067383,193.8000030517578,20.100000381469727,48039662800.0
273.3999938964844,2.340432643890381,8.416688919067383,193.8000030517578,20.100000381469727,48039662900.0
273.3999938964844,2.340432643890381,8.416688919067383,193.8000030517578,20.100000381469727,48039663000.0
286.79998779296875,2.1094930171966553,8.430683135986328,207.1999969482422,33.5,48039663100.0
190.6999969482422,1.0831856727600098,4.052112102508545,107.5999984741211,180.0,48039663200.0
190.6999969482422,1.0831856727600098,4.052112102508545,107.5999984741211,180.0,48039663300.0
153.1999969482422,0.9737632870674133,4.538760185241699,70.0999984741211,142.5,48039663400.0
184.89999389648438,1.123640775680542,4.0144944190979,101.80000305175781,174.1999969482422,48039663500.0
184.89999389648438,1.123640775680542,4.0144944190979,101.80000305175781,174.1999969482422,48039663600.0
184.89999389648438,1.123640775680542,4.0144944190979,101.80000305175781,174.1999969482422,48039663700.0
184.89999389648438,1.123640775680542,4.0144944190979,101.80000305175781,174.1999969482422,48039663800.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039663900.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039664000.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039664100.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039664200.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039664300.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039664400.0
286.79998779296875,2.1094930171966553,8.430683135986328,207.1999969482422,33.5,48039664501.0
226.3000030517578,1.372626543045044,17.843795776367188,371.29998779296875,276.70001220703125,48039990000.0
861.2000122070312,0.00023087802401278168,10.311053276062012,59.70000076293945,95.80000305175781,48071710100.0
134.60000610351562,0.20093417167663574,17.26691246032715,138.3000030517578,111.19999694824219,48071710200.0
271.5,0.017484236508607864,21.0218505859375,223.8000030517578,253.3000030517578,48071710300.0
337.29998779296875,0.9173057675361633,22.42034339904785,229.5,287.0,48071710401.0
337.29998779296875,0.9173057675361633,22.42034339904785,229.5,287.0,48071710500.0
337.29998779296875,0.9173057675361633,22.42034339904785,229.5,287.0,48071710600.0
337.29998779296875,0.9173057675361633,22.42034339904785,229.5,287.0,48071990000.0
142.60000610351562,0.46156585216522217,3.5256054401397705,93.0,131.89999389648438,48157670101.0
