GEOID,COUNTYFP,INTPTLAT,INTPTLONG
13121009601,13121,33.8463916,-84.3777069                                                                                                                                                 
13121009602,13121,33.8440942,-84.3614273                                                                                                                                                
13121009603,13121,33.8343705,-84.3757572                                                                                                                                                
13121009700,13121,33.8422302,-84.4439703                                                                                                                                       
13121009801,13121,33.8391503,-84.4145464                                                                                                                                         
13121009802,13121,33.8636555,-84.4250506                                                                                                                                        
13121009900,13121,33.8613359,-84.3918503                                                                                                                                         
13121010001,13121,33.8625134,-84.3754032                                                                                                                                         
13121010002,13121,33.8680492,-84.3577716                                                                                                                                          
13121010106,13121,33.988342,-84.332991                                                                                                                                          
13121010107,13121,33.9779261,-84.3038995                                                                                                                                         
13121010108,13121,33.9680215,-84.2801292                                                                                                                                         
13121010110,13121,33.9205401,-84.3632092                                                                                                                                          
13121010113,13121,33.905112,-84.3675067                                                                                                                                          
13121010114,13121,33.8890375,-84.3727042                                                                                                                                         
13121010115,13121,33.8967987,-84.3538038                                                                                                                                         
13121010117,13121,33.9620438,-84.3590973                                                                                                                                                
13121010118,13121,33.9735217,-84.3498219                                                                                                                                         
13121010119,13121,33.9913064,-84.3452346                                                                                                                                                
13121010120,13121,34.0033206,-84.3440436                                                                                                                                          
13121010121,13121,33.9311537,-84.3706421                                                                                                                                                 
13121010122,13121,33.9487098,-84.3514006                                                                                                                                          
13121010123,13121,33.9448567,-84.3638523                                                                                                                                         
13121010204,13121,33.9220502,-84.420917                                                                                                                                         
13121010205,13121,33.9194128,-84.4006248                                                                                                                                         
13121010206,13121,33.8959813,-84.4216668                                                                                                                                        
13121010208,13121,33.9897059,-84.3662291                                                                                                                                        
13121010209,13121,33.971313,-84.366547                                                                                                                                          
13121010210,13121,33.9525466,-84.3796136                                                                                                                                         
13121010211,13121,33.8812683,-84.3956762                                                                                                                                         
13121010212,13121,33.9021495,-84.3842886                                                                                                                                         
13121010301,13121,33.6369797,-84.6514351                                                                                                                                      
13121010303,13121,33.7082359,-84.5754911                                                                                                                                      
13121010304,13121,33.658599,-84.5620747                                                                                                                                        
13121010400,13121,33.5546062,-84.7260797                                                                                                                                    
13121010507,13121,33.608917,-84.4769375                                                                                                                                           
13121010508,13121,33.5919667,-84.4764025                                                                                                                                                
13121010510,13121,33.5485986,-84.544354                                                                                                                                       
13121010511,13121,33.6142836,-84.5127163                                                                                                                                       
13121010512,13121,33.5930211,-84.539209                                                                                                                                          
13121010513,13121,33.5920259,-84.5606039                                                                                                                                      
13121010514,13121,33.5719685,-84.6116356                                                                                                                                      
13121010515,13121,33.5507439,-84.4935426                                                                                                                                         
13121010516,13121,33.5747658,-84.4766503                                                                                                                                         
13121010601,13121,33.6610333,-84.4572758                                                                                                                                                
13121010603,13121,33.6453948,-84.4699103                                                                                                                                         
13121010604,13121,33.6280717,-84.4732073                                                                                                                                                
13121010800,13121,33.6621228,-84.409333                                                                                                                                                 
13121011000,13121,33.6742763,-84.4270054                                                                                                                                                
13121011100,13121,33.6880806,-84.4272218                                                                                                                                                
13121011201,13121,33.6923449,-84.4436883                                                                                                                                          
13121011202,13121,33.6771978,-84.4503095                                                                                                                                                
13121011301,13121,33.6891521,-84.4681656                                                                                                                                          
13121011303,13121,33.6689408,-84.4807378                                                                                                                                          
13121011305,13121,33.6476996,-84.4912744                                                                                                                                          
13121011306,13121,33.6389921,-84.50339                                                                                                                                            
13121011405,13121,34.0201892,-84.3498247                                                                                                                                        
13121011410,13121,33.9934653,-84.2860346                                                                                                                                        
13121011411,13121,34.0058303,-84.3203283                                                                                                                                        
13121011412,13121,34.0239783,-84.2943878                                                                                                                                         
13121011414,13121,34.0060986,-84.2714277                                                                                                                                         
13121011416,13121,34.0649975,-84.3455864                                                                                                                                         
13121011417,13121,34.056471,-84.3693551                                                                                                                                          
13121011418,13121,34.0392348,-84.3897969                                                                                                                                       
13121011419,13121,34.045539,-84.372937                                                                                                                                            
13121011420,13121,34.0332055,-84.3232629                                                                                                                                          
13121011421,13121,34.0405266,-84.332837                                                                                                                                          
13121011422,13121,34.0061025,-84.3682633                                                                                                                                        
13121011423,13121,34.0212455,-84.391009                                                                                                                                           
13121011424,13121,34.0098554,-84.2609033                                                                                                                                         
13121011425,13121,34.0137232,-84.2406185                                                                                                                                       
13121011426,13121,34.0371527,-84.2460359                                                                                                                                                
13121011427,13121,34.030117,-84.2715524                                                                                                                                         
13121011503,13121,34.1059738,-84.3659221                                                                                                                                      
13121011504,13121,34.1581712,-84.3134107                                                                                                                                      
13121011505,13121,34.0808748,-84.3731024                                                                                                                                        
13121011506,13121,34.0799312,-84.4033555                                                                                                                                       
13121011610,13121,34.0860327,-84.3156872                                                                                                                                         
13121011611,13121,34.0571527,-84.3084635                                                                                                                                        
13121011612,13121,34.0064462,-84.2018951                                                                                                                                        
13121011613,13121,34.0320332,-84.2167367                                                                                                                                         
13121011614,13121,34.101491,-84.2679865                                                                                                                                          
13121011615,13121,34.1119279,-84.2897026                                                                                                                                       
13121011616,13121,34.0721558,-84.2879233                                                                                                                                         
13121011617,13121,34.0414617,-84.2683894                                                                                                                                          
13121011618,13121,34.056505,-84.2649627                                                                                                                                          
13121011619,13121,34.0667902,-84.2448337                                                                                                                                         
13121011620,13121,34.0706163,-84.2193336                                                                                                                                        
13121011621,13121,34.0869934,-84.2332337                                                                                                                                        
