GEOID,COUNTYFP,INTPTLAT,INTPTLONG
48157672701,48157,29.6619078,-95.6647447                                                                                                                                       
48157672702,48157,29.645125,-95.6653199                                                                                                                                          
48157672800,48157,29.6244938,-95.6696086                                                                                                                                       
48157672900,48157,29.6700035,-95.7080888                                                                                                                                     
48157673001,48157,29.747111,-95.7613666                                                                                                                                         
48157673002,48157,29.724126,-95.736113                                                                                                                                         
48157673003,48157,29.7156044,-95.7610292                                                                                                                                        
48157673101,48157,29.744657,-95.8155361                                                                                                                                       
48157673102,48157,29.7148657,-95.7884644                                                                                                                                        
48157673200,48157,29.7140221,-95.929367                                                                                                                                     
48157673300,48157,29.6493359,-95.8914419                                                                                                                                    
48157673400,48157,29.6460903,-95.794526                                                                                                                                      
48157673500,48157,29.6423765,-95.7287185                                                                                                                                        
48157673600,48157,29.6083142,-95.7283307                                                                                                                                         
48157673700,48157,29.6207364,-95.7092254                                                                                                                                         
48157673800,48157,29.5874575,-95.7125243                                                                                                                                      
48157673901,48157,29.591709,-95.6661793                                                                                                                                         
48157673902,48157,29.596712,-95.6472119                                                                                                                                         
48157674000,48157,29.5869198,-95.6224023                                                                                                                                         
48157674100,48157,29.5791692,-95.5995891                                                                                                                                                 
48157674200,48157,29.5713421,-95.6222174                                                                                                                                         
48157674300,48157,29.5624784,-95.5772051                                                                                                                                        
48157674400,48157,29.547258,-95.6015588                                                                                                                                      
48157674501,48157,29.5206694,-95.5286424                                                                                                                                       
48157674502,48157,29.488242,-95.4995125                                                                                                                                       
48157674601,48157,29.5562476,-95.680004                                                                                                                                         
48157674602,48157,29.5312149,-95.6298858                                                                                                                                     
48157674603,48157,29.5445836,-95.690747                                                                                                                                          
48157674604,48157,29.5509485,-95.7185655                                                                                                                                         
48157674700,48157,29.573369,-95.7243066                                                                                                                                       
48157674800,48157,29.5665357,-95.7717737                                                                                                                                                
48157674900,48157,29.5943288,-95.7707429                                                                                                                                        
48157675000,48157,29.5655932,-95.7923687                                                                                                                                        
48157675100,48157,29.5512027,-95.7708065                                                                                                                                         
48157675200,48157,29.542992,-95.7955779                                                                                                                                              
48157675300,48157,29.5436226,-95.8255711                                                                                                                                          
48157675400,48157,29.5222536,-95.8753503                                                                                                                                    
48157675500,48157,29.4660533,-95.6764741                                                                                                                                  
48157675600,48157,29.3724993,-95.710071                                                                                                                                    
48157675700,48157,29.3654736,-95.8542789                                                                                                                                    
48157675800,48157,29.5291745,-95.9737864                                                                                                                                   
48167720100,48167,29.5429945,-95.2097928                                                                                                                                                
48167720200,48167,29.5137895,-95.1797655                                                                                                                                         
48167720301,48167,29.5213838,-95.2007405                                                                                                                                          
48167720302,48167,29.5027403,-95.2071109                                                                                                                                          
48167720400,48167,29.4830413,-95.1966918                                                                                                                                       
48167720501,48167,29.5020627,-95.1346335                                                                                                                                         
48167720502,48167,29.4848585,-95.116607                                                                                                                                          
48167720503,48167,29.4799403,-95.1525663                                                                                                                                        
48167720600,48167,29.4544212,-95.1455038                                                                                                                                       
48167720700,48167,29.4993837,-95.098948                                                                                                                                        
48167720800,48167,29.4668759,-95.0718982                                                                                                                                          
48167720900,48167,29.4517166,-95.0562379                                                                                                                                         
48167721000,48167,29.464296,-94.9919613                                                                                                                                        
