POPULATION,LATITUDE,LONGITUDE,CountyFIPS,TractFIPS
7501,+40.834897,-073.919754,36005,36005019700
8154,+40.836659,-073.925324,36005,36005019900
4878,+40.840943,-073.845864,36005,36005020000
4013,+40.841564,-073.925795,36005,36005020100
2155,+40.838428,-073.847659,36005,36005020200
2976,+40.841031,-073.851047,36005,36005020400
6996,+40.847642,-073.922567,36005,36005020501
1764,+40.851379,-073.919003,36005,36005020502
3050,+40.836422,-073.850377,36005,36005020601
4361,+40.842810,-073.914257,36005,36005020900
8521,+40.840584,-073.859054,36005,36005021001
6839,+40.838631,-073.856774,36005,36005021002
5565,+40.840518,-073.923535,36005,36005021100
5267,+40.835917,-073.858590,36005,36005021200
1201,+40.845678,-073.919625,36005,36005021301
5415,+40.842653,-073.920211,36005,36005021302
3506,+40.849682,-073.918002,36005,36005021501
6051,+40.847849,-073.916785,36005,36005021502
4206,+40.838335,-073.864839,36005,36005021601
5769,+40.837538,-073.862108,36005,36005021602
5334,+40.847824,-073.913685,36005,36005021700
6499,+40.837543,-073.867878,36005,36005021800
1367,+40.840549,-073.918815,36005,36005021900
1487,+40.841153,-073.874077,36005,36005022000
3849,+40.838311,-073.917959,36005,36005022101
5488,+40.837735,-073.916026,36005,36005022102
3425,+40.835471,-073.855280,36005,36005022200
5047,+40.840592,-073.914910,36005,36005022300
2708,+40.854863,-073.868741,36005,36005022401
3188,+40.855563,-073.866020,36005,36005022403
4509,+40.852497,-073.866213,36005,36005022404
7698,+40.840526,-073.911159,36005,36005022500
5196,+40.847079,-073.910473,36005,36005022701
1699,+40.844304,-073.912967,36005,36005022702
1556,+40.844212,-073.910410,36005,36005022703
6218,+40.854299,-073.863660,36005,36005022800
5370,+40.846222,-073.906982,36005,36005022901
3273,+40.843654,-073.907233,36005,36005022902
2950,+40.849234,-073.866092,36005,36005023000
1537,+40.846460,-073.903487,36005,36005023100
2661,+40.846891,-073.863739,36005,36005023200
4377,+40.849363,-073.908435,36005,36005023301
3415,+40.848131,-073.904958,36005,36005023302
3341,+40.852534,-073.904249,36005,36005023501
4386,+40.850809,-073.903739,36005,36005023502
1907,+40.845092,-073.867255,36005,36005023600
1241,+40.860153,-073.897357,36005,36005023702
5253,+40.859710,-073.899882,36005,36005023703
3758,+40.856188,-073.901922,36005,36005023704
2615,+40.844734,-073.862861,36005,36005023800
8348,+40.858672,-073.902800,36005,36005023900
3882,+40.842029,-073.868766,36005,36005024000
6182,+40.853024,-073.905955,36005,36005024100
5685,+40.852330,-073.911408,36005,36005024300
2120,+40.846505,-073.857596,36005,36005024400
4864,+40.852798,-073.915612,36005,36005024501
3640,+40.855000,-073.913398,36005,36005024502
2058,+40.851943,-073.861093,36005,36005024600
1764,+40.855485,-073.917337,36005,36005024700
3363,+40.854968,-073.858791,36005,36005024800
0,+40.857437,-073.913141,36005,36005024900
2383,+40.851710,-073.855735,36005,36005025000
6802,+40.856731,-073.907465,36005,36005025100
2530,+40.847186,-073.855047,36005,36005025200
6332,+40.860935,-073.904634,36005,36005025300
1959,+40.848613,-073.852670,36005,36005025400
6529,+40.861017,-073.908257,36005,36005025500
1663,+40.844808,-073.849800,36005,36005025600
1912,+40.860538,-073.913056,36005,36005025700
1932,+40.866650,-073.905880,36005,36005026100
6984,+40.865056,-073.904021,36005,36005026300
4935,+40.841823,-073.832241,36005,36005026400
6942,+40.865363,-073.901230,36005,36005026500
2911,+40.847128,-073.834012,36005,36005026601
5301,+40.846229,-073.829978,36005,36005026602
4037,+40.869409,-073.901406,36005,36005026701
7040,+40.872088,-073.900012,36005,36005026702
3777,+40.870054,-073.905568,36005,36005026900
7942,+40.873592,-073.903154,36005,36005027300
4785,+40.840930,-073.822121,36005,36005027401
3386,+40.843079,-073.817863,36005,36005027402
473,+40.857929,-073.821896,36005,36005027600
5065,+40.878494,-073.901294,36005,36005027700
6966,+40.882535,-073.896800,36005,36005027900
3794,+40.883884,-073.891079,36005,36005028100
3149,+40.879110,-073.903913,36005,36005028300
894,+40.847658,-073.838891,36005,36005028400
3307,+40.886063,-073.903559,36005,36005028500
1191,+40.848758,-073.848491,36005,36005028600
3178,+40.882355,-073.904418,36005,36005028700
3097,+40.854539,-073.852133,36005,36005028800
4502,+40.879557,-073.906603,36005,36005028900
1875,+40.881760,-073.920972,36005,36005029301
5052,+40.879202,-073.916061,36005,36005029302
4240,+40.885333,-073.908222,36005,36005029500
2549,+40.855286,-073.843840,36005,36005029600
3554,+40.885274,-073.911666,36005,36005029700
5838,+40.852260,-073.831044,36005,36005030000
1304,+40.882701,-073.917926,36005,36005030100
8887,+40.864050,-073.822961,36005,36005030200
5378,+40.890294,-073.911206,36005,36005030701
3891,+40.897002,-073.913418,36005,36005030900
4415,+40.861112,-073.835934,36005,36005031000
1524,+40.862324,-073.842434,36005,36005031200
1966,+40.861571,-073.845412,36005,36005031400
1863,+40.862148,-073.848737,36005,36005031600
1810,+40.861887,-073.851570,36005,36005031800
751,+40.913123,-073.905790,36005,36005031900
4904,+40.905895,-073.906184,36005,36005032300
2957,+40.862694,-073.859651,36005,36005032400
3154,+40.862388,-073.855512,36005,36005032600
3979,+40.861189,-073.863344,36005,36005032800
5696,+40.860995,-073.866023,36005,36005033000
4115,+40.859539,-073.869538,36005,36005033201
4167,+40.863474,-073.868971,36005,36005033202
1351,+40.856461,-073.870621,36005,36005033400
2178,+40.890421,-073.904620,36005,36005033500
6188,+40.868228,-073.869206,36005,36005033600
2357,+40.908305,-073.901859,36005,36005033700
3818,+40.868838,-073.865500,36005,36005033800
4618,+40.868296,-073.863193,36005,36005034000
1675,+40.869064,-073.859848,36005,36005034200
1649,+40.909488,-073.897689,36005,36005034300
1736,+40.868252,-073.857128,36005,36005034400
3566,+40.904239,-073.898549,36005,36005034500
6129,+40.869368,-073.852840,36005,36005034800
1925,+40.868516,-073.848351,36005,36005035000
3186,+40.893943,-073.899142,36005,36005035100
2027,+40.868686,-073.838435,36005,36005035600
7166,+40.874126,-073.842681,36005,36005035800
2061,+40.840763,-073.883845,36005,36005035900
2706,+40.866880,-073.843712,36005,36005036000
6019,+40.842552,-073.879643,36005,36005036100
7509,+40.844802,-073.882167,36005,36005036300
2557,+40.873812,-073.848814,36005,36005036400
3965,+40.845378,-073.885729,36005,36005036501
2423,+40.842588,-073.887592,36005,36005036502
2599,+40.840531,-073.889449,36005,36005036700
2011,+40.875542,-073.856624,36005,36005036800
2005,+40.844631,-073.892018,36005,36005036901
2119,+40.842672,-073.893316,36005,36005036902
2303,+40.872972,-073.858904,36005,36005037000
4241,+40.847313,-073.887514,36005,36005037100
2222,+40.873024,-073.863650,36005,36005037200
5318,+40.848734,-073.890208,36005,36005037300
3441,+40.874760,-073.866295,36005,36005037400
3677,+40.849390,-073.893490,36005,36005037504
2148,+40.873652,-073.869116,36005,36005037600
3048,+40.879860,-073.867089,36005,36005037800
5093,+40.851734,-073.899289,36005,36005037900
4585,+40.878034,-073.862096,36005,36005038000
6382,+40.852732,-073.901135,36005,36005038100
2596,+40.877434,-073.854969,36005,36005038200
4797,+40.857271,-073.898443,36005,36005038301
6106,+40.857099,-073.895389,36005,36005038302
4758,+40.855699,-073.892396,36005,36005038500
7409,+40.878984,-073.848739,36005,36005038600
3216,+40.857030,-073.889100,36005,36005038700
2606,+40.879593,-073.855350,36005,36005038800
5325,+40.856116,-073.884717,36005,36005038900
2975,+40.881176,-073.860678,36005,36005039000
6992,+40.853294,-073.886953,36005,36005039100
1781,+40.883483,-073.864991,36005,36005039200
8143,+40.852385,-073.883315,36005,36005039300
4573,+40.886556,-073.863788,36005,36005039400
4146,+40.849265,-073.896596,36005,36005039500
3756,+40.884409,-073.858971,36005,36005039600
3702,+40.861104,-073.886101,36005,36005039700
3090,+40.882864,-073.853728,36005,36005039800
5228,+40.863576,-073.893297,36005,36005039901
5279,+40.860323,-073.895036,36005,36005039902
4593,+40.864320,-073.897390,36005,36005040100
4386,+40.867892,-073.892155,36005,36005040302
4478,+40.869692,-073.893539,36005,36005040303
3794,+40.867666,-073.895183,36005,36005040304
3016,+40.886089,-073.851403,36005,36005040400
4397,+40.867133,-073.891106,36005,36005040501
6863,+40.865754,-073.889225,36005,36005040502
3490,+40.888052,-073.857033,36005,36005040600
3347,+40.871474,-073.890299,36005,36005040701
6652,+40.869481,-073.887377,36005,36005040702
4263,+40.889930,-073.861905,36005,36005040800
3637,+40.878475,-073.888313,36005,36005040900
2931,+40.875404,-073.887201,36005,36005041100
7384,+40.873857,-073.885265,36005,36005041300
5027,+40.903050,-073.853285,36005,36005041400
5461,+40.869976,-073.883568,36005,36005041500
3598,+40.896736,-073.857528,36005,36005041800
6734,+40.877248,-073.881139,36005,36005041900
3850,+40.893073,-073.859367,36005,36005042000
5922,+40.881750,-073.882253,36005,36005042100
3086,+40.891032,-073.855442,36005,36005042200
4100,+40.876853,-073.877160,36005,36005042300
2481,+40.889247,-073.849513,36005,36005042400
6793,+40.871806,-073.878479,36005,36005042500
6387,+40.890947,-073.841769,36005,36005042600
2173,+40.894331,-073.845683,36005,36005042800
3420,+40.874589,-073.875309,36005,36005042901
3845,+40.877243,-073.874139,36005,36005042902
2898,+40.893397,-073.850751,36005,36005043000
9680,+40.881845,-073.877045,36005,36005043100
3592,+40.896715,-073.853726,36005,36005043400
39,+40.887713,-073.867058,36005,36005043500
2032,+40.897351,-073.849718,36005,36005043600
3555,+40.904236,-073.846445,36005,36005044200
3878,+40.899552,-073.844674,36005,36005044400
2026,+40.895451,-073.841344,36005,36005044800
1818,+40.897441,-073.873362,36005,36005044901
1949,+40.898835,-073.869070,36005,36005044902
