GEOID,COUNTYFP,INTPTLAT,INTPTLONG
39061010400,39061,39.0995775,-84.6698834                                                                                                                                        
39061010500,39061,39.1107416,-84.6858406                                                                                                                                                 
39061010600,39061,39.1221737,-84.6987274                                                                                                                                         
39061010800,39061,39.1676845,-84.4121404                                                                                                                                                
39061010900,39061,39.1330141,-84.6098098                                                                                                                                                 
39061011000,39061,39.202975,-84.4588327                                                                                                                                                 
39061011100,39061,39.2095352,-84.5328417                                                                                                                                                 
39061026300,39061,39.1103212,-84.5391758                                                                                                                                        
39061026400,39061,39.1091847,-84.5238695                                                                                                                                                 
39061026500,39061,39.0989252,-84.5132618                                                                                                                                         
39061026600,39061,39.1188998,-84.447581                                                                                                                                         
39061026700,39061,39.1243452,-84.4956229                                                                                                                                                
39061026800,39061,39.1075951,-84.4991668                                                                                                                                                 
39061026900,39061,39.1181767,-84.5291721                                                                                                                                                 
39061027000,39061,39.1375623,-84.4947547                                                                                                                                                
39061027100,39061,39.1911991,-84.466295                                                                                                                                                 
39061027200,39061,39.1285776,-84.5597756                                                                                                                                                
